"","CBSAFP","metro_area","CSAFP"
"264",21460,"alabama nonmetropolitan area",NA
"265",21500,"pennsylvania nonmetropolitan area",240
"266",21540,"michigan nonmetropolitan area",NA
"267",21580,"albuquerque metropolitan area",106
"268",21640,"alabama nonmetropolitan area",NA
"269",21660,"eugene metropolitan area",NA
"270",21700,"california nonmetropolitan area",NA
"271",21740,"wyoming nonmetropolitan area",NA
"272",21780,"indiana nonmetropolitan area",NA
"273",21820,"alaska nonmetropolitan area",NA
"274",21840,"iowa nonmetropolitan area",NA
"275",21860,"minnesota nonmetropolitan area",NA
"276",21900,"west virginia nonmetropolitan area",390
"277",21980,"nevada nonmetropolitan area",NA
"278",22020,"north dakota nonmetropolitan area",244
"279",22060,"minneapolis metropolitan area",378
"280",22100,"st louis metropolitan area",476
"281",22140,"new mexico nonmetropolitan area",NA
"282",22180,"fayetteville metropolitan area",246
"283",22220,"arkansas nonmetropolitan area",NA
"284",22260,"minnesota nonmetropolitan area",NA
"285",22280,"reno metropolitan area",456
"286",22300,"toledo metropolitan area",534
"287",22340,"georgia nonmetropolitan area (united states)",NA
"288",22380,"arizona nonmetropolitan area",NA
"289",22420,"detroit metropolitan area",220
"290",22500,"south carolina nonmetropolitan area",NA
"291",22520,"alabama nonmetropolitan area",NA
"292",22540,"wisconsin nonmetropolitan area",NA
"293",22580,"north carolina nonmetropolitan area",NA
"294",22620,"memphis metropolitan area",368
"295",22660,"fort collins metropolitan area",NA
"296",22700,"iowa nonmetropolitan area",NA
"297",22780,"missouri nonmetropolitan area",NA
"298",22800,"iowa nonmetropolitan area",161
"299",22820,"colorado nonmetropolitan area",NA
"300",22840,"alabama nonmetropolitan area",497
"301",22860,"louisiana nonmetropolitan area",217
"302",22900,"arkansas nonmetropolitan area",NA
"303",23060,"fort wayne metropolitan area",258
"304",23140,"indiana nonmetropolitan area",320
"305",23180,"lexington metropolitan area",336
"306",23240,"texas nonmetropolitan area",314
"307",23300,"illinois nonmetropolitan area",466
"308",23340,"omaha metropolitan area",420
"309",23380,"toledo metropolitan area",534
"310",23420,"fresno metropolitan area",260
"311",23460,"alabama nonmetropolitan area",NA
"312",23500,"greenville metropolitan area",273
"313",23540,"gainesville metropolitan area",264
"314",23580,"atlanta metropolitan area",122
"315",23620,"dallas metropolitan area",206
"316",23660,"illinois nonmetropolitan area",NA
"317",23700,"new mexico nonmetropolitan area",NA
"318",23780,"kansas nonmetropolitan area",NA
"319",23820,"reno metropolitan area",456
"320",23860,"south carolina nonmetropolitan area",396
"321",23900,"pennsylvania nonmetropolitan area",276
"322",23940,"wyoming nonmetropolitan area",NA
"323",23980,"kentucky nonmetropolitan area",150
"324",24020,"albany metropolitan area",104
"325",24060,"colorado nonmetropolitan area",233
"326",24100,"albany metropolitan area",104
"327",24140,"north carolina nonmetropolitan area",NA
"328",24180,"dallas metropolitan area",206
"329",24220,"north dakota nonmetropolitan area",NA
"330",24260,"nebraska nonmetropolitan area",NA
"331",24300,"colorado nonmetropolitan area",NA
"332",24330,"minnesota nonmetropolitan area",NA
"333",24340,"grand rapids metropolitan area",266
"334",24380,"new mexico nonmetropolitan area",NA
"335",24420,"oregon nonmetropolitan area",366
"336",24460,"kansas nonmetropolitan area",NA
"337",24500,"montana nonmetropolitan area",NA
"338",24540,"denver metropolitan area",216
"339",24580,"wisconsin nonmetropolitan area",267
"340",24620,"tennessee nonmetropolitan area",NA
"341",24660,"greensboro metropolitan area",268
"342",24700,"indianapolis metropolitan area",294
"343",24740,"mississippi nonmetropolitan area",NA
"344",24780,"north carolina nonmetropolitan area",272
"345",24820,"dayton metropolitan area",212
"346",24860,"greenville metropolitan area",273
"347",24900,"mississippi nonmetropolitan area",NA
"348",24940,"greenville metropolitan area",273
"349",24980,"mississippi nonmetropolitan area",NA
"350",25060,"mississippi nonmetropolitan area",NA
"351",25100,"oklahoma nonmetropolitan area",NA
"352",25180,"baltimore metropolitan area",548
"353",25200,"idaho nonmetropolitan area",NA
"354",25220,"new orleans metropolitan area",406
"355",25260,"fresno metropolitan area",260
"356",25300,"missouri nonmetropolitan area",448
"357",25420,"pennsylvania nonmetropolitan area",276
"358",25460,"arkansas nonmetropolitan area",NA
"359",25500,"virginia nonmetropolitan area",277
"360",25540,"hartford metropolitan area",278
"361",25580,"nebraska nonmetropolitan area",NA
"362",25620,"mississippi nonmetropolitan area",279
"363",25700,"kansas nonmetropolitan area",NA
"364",25720,"salt lake city metropolitan area",482
"365",25740,"montana nonmetropolitan area",NA
"366",25760,"arkansas nonmetropolitan area",NA
"367",25780,"raleigh metropolitan area",450
"368",25820,"texas nonmetropolitan area",NA
"369",25840,"oregon nonmetropolitan area",NA
"370",25860,"north carolina nonmetropolitan area",NA
"371",25880,"michigan nonmetropolitan area",NA
"372",25900,"hawaii nonmetropolitan area",NA
"373",25940,"south carolina nonmetropolitan area",NA
"374",25980,"savannah metropolitan area",496
"375",26020,"new mexico nonmetropolitan area",NA
"376",26090,"grand rapids metropolitan area",266
"377",26140,"florida nonmetropolitan area",NA
"378",26220,"oregon nonmetropolitan area",NA
"379",26260,"arkansas nonmetropolitan area",NA
"380",26300,"arkansas nonmetropolitan area",284
"381",26340,"michigan nonmetropolitan area",NA
"382",26380,"louisiana nonmetropolitan area",NA
"383",26420,"houston metropolitan area",288
"384",26460,"albany metropolitan area",104
"385",26500,"pennsylvania nonmetropolitan area",107
"386",26540,"fort wayne metropolitan area",258
"387",26580,"west virginia nonmetropolitan area",170
"388",26620,"huntsville metropolitan area",290
"389",26660,"houston metropolitan area",288
"390",26700,"south dakota nonmetropolitan area",NA
"391",26740,"kansas nonmetropolitan area",NA
"392",26780,"minneapolis metropolitan area",378
"393",26820,"idaho nonmetropolitan area",292
"394",26860,"pittsburgh metropolitan area",430
"395",26900,"indianapolis metropolitan area",294
"396",26940,"mississippi nonmetropolitan area",185
"397",26980,"iowa nonmetropolitan area",168
"398",27020,"michigan nonmetropolitan area",361
"399",27060,"new york nonmetropolitan area",296
"400",27100,"michigan nonmetropolitan area",NA
"401",27140,"jackson metropolitan area",298
"402",27160,"ohio nonmetropolitan area",NA
"403",27180,"tennessee nonmetropolitan area",297
"404",27220,"wyoming nonmetropolitan area",NA
"405",27260,"jacksonville metropolitan area",300
"406",27300,"illinois nonmetropolitan area",522
"407",27340,"north carolina nonmetropolitan area",NA
"408",27380,"texas nonmetropolitan area",540
"409",27420,"north dakota nonmetropolitan area",NA
"410",27460,"new york nonmetropolitan area",NA
"411",27500,"madison metropolitan area",357
"412",27530,"birmingham metropolitan area (alabama)",142
"413",27540,"indiana nonmetropolitan area",NA
"414",27600,"atlanta metropolitan area",122
"415",27620,"missouri nonmetropolitan area",NA
"416",27660,"louisiana nonmetropolitan area",324
"417",27700,"savannah metropolitan area",496
"418",27740,"tennessee nonmetropolitan area",304
"419",27780,"pennsylvania nonmetropolitan area",306
"420",27860,"arkansas nonmetropolitan area",308
"421",27900,"missouri nonmetropolitan area",309
"422",27940,"alaska nonmetropolitan area",NA
"423",27980,"hawaii nonmetropolitan area",NA
"424",28020,"michigan nonmetropolitan area",310
"425",28060,"montana nonmetropolitan area",NA
"426",28100,"chicago metropolitan area",176
"427",28140,"kansas city metropolitan area",312
"428",28180,"hawaii nonmetropolitan area",NA
"429",28260,"nebraska nonmetropolitan area",NA
"430",28300,"new hampshire nonmetropolitan area",NA
"431",28340,"fort wayne metropolitan area",258
"432",28380,"missouri nonmetropolitan area",NA
"433",28420,"washington nonmetropolitan area",313
"434",28500,"texas nonmetropolitan area",314
"435",28540,"alaska nonmetropolitan area",NA
"436",28580,"miami metropolitan area",370
"437",28620,"virginia beach metropolitan area",545
"438",28660,"texas nonmetropolitan area",NA
"439",28700,"tennessee nonmetropolitan area",304
"440",28740,"new york city metropolitan area",408
"441",28780,"corpus christi metropolitan area",204
"442",28820,"north carolina nonmetropolitan area",272
"443",28860,"missouri nonmetropolitan area",NA
"444",28900,"oregon nonmetropolitan area",NA
"445",28940,"knoxville metropolitan area",315
"446",29020,"indiana nonmetropolitan area",316
"447",29060,"boston metropolitan area",148
"448",29100,"wisconsin nonmetropolitan area",NA
"449",29180,"louisiana nonmetropolitan area",318
"450",29200,"indiana nonmetropolitan area",320
"451",29260,"oregon nonmetropolitan area",NA
"452",29300,"atlanta metropolitan area",122
"453",29340,"louisiana nonmetropolitan area",324
"454",29380,"gainesville metropolitan area",264
"455",29420,"arizona nonmetropolitan area",NA
"456",29460,"orlando metropolitan area",422
"457",29500,"texas nonmetropolitan area",NA
"458",29540,"pennsylvania nonmetropolitan area",NA
"459",29620,"michigan nonmetropolitan area",NA
"460",29660,"wyoming nonmetropolitan area",NA
"461",29700,"texas nonmetropolitan area",NA
"462",29740,"el paso metropolitan area",238
"463",29780,"albuquerque metropolitan area",106
"464",29820,"las vegas metropolitan area",332
"465",29860,"mississippi nonmetropolitan area",279
"466",29900,"fayetteville metropolitan area",246
"467",29940,"kansas city metropolitan area",312
"468",29980,"nashville metropolitan area",400
"469",30020,"oklahoma nonmetropolitan area",NA
"470",30060,"missouri nonmetropolitan area",NA
"471",30100,"new hampshire nonmetropolitan area",NA
"472",30140,"pennsylvania nonmetropolitan area",276
"473",30220,"lubbock metropolitan area",352
"474",30260,"pennsylvania nonmetropolitan area",146
"475",30280,"nashville metropolitan area",400
"476",30300,"idaho nonmetropolitan area",NA
"477",30340,"maine nonmetropolitan area",438
"478",30380,"pennsylvania nonmetropolitan area",NA
"479",30420,"nebraska nonmetropolitan area",NA
"480",30460,"lexington metropolitan area",336
"481",30580,"kansas nonmetropolitan area",NA
"482",30620,"ohio nonmetropolitan area",338
"483",30660,"illinois nonmetropolitan area",522
"484",30700,"lincoln metropolitan area",339
"485",30780,"little rock metropolitan area",340
"486",30820,"pennsylvania nonmetropolitan area",558
"487",30860,"utah nonmetropolitan area",NA
"488",30900,"indiana nonmetropolitan area",NA
"489",30940,"kentucky nonmetropolitan area",NA
"490",30980,"texas nonmetropolitan area",NA
"491",31020,"portland metropolitan area",440
"492",31060,"albuquerque metropolitan area",106
"493",31080,"los angeles metropolitan area",348
"494",31140,"louisville metropolitan area",350
"495",31180,"lubbock metropolitan area",352
"496",31220,"michigan nonmetropolitan area",NA
"497",31260,"texas nonmetropolitan area",NA
"498",31300,"fayetteville metropolitan area",246
"499",31340,"virginia nonmetropolitan area",NA
"500",31380,"illinois nonmetropolitan area",NA
"501",31420,"georgia nonmetropolitan area (united states)",356
"502",31460,"fresno metropolitan area",260
"503",31500,"indiana nonmetropolitan area",NA
"504",31540,"madison metropolitan area",357
"505",31580,"kentucky nonmetropolitan area",NA
"506",31620,"arkansas nonmetropolitan area",NA
"507",31660,"new york nonmetropolitan area",NA
"508",31680,"arkansas nonmetropolitan area",284
"509",31700,"boston metropolitan area",148
"510",31740,"kansas nonmetropolitan area",NA
"511",31820,"wisconsin nonmetropolitan area",NA
"512",31860,"minnesota nonmetropolitan area",359
"513",31900,"ohio nonmetropolitan area",360
"514",31930,"ohio nonmetropolitan area",425
"515",31940,"wisconsin nonmetropolitan area",361
"516",31980,"indiana nonmetropolitan area",NA
"517",32000,"north carolina nonmetropolitan area",120
"518",32020,"columbus metropolitan area",198
"519",32100,"michigan nonmetropolitan area",NA
"520",32140,"minnesota nonmetropolitan area",NA
"521",32180,"missouri nonmetropolitan area",NA
"522",32260,"iowa nonmetropolitan area",NA
"523",32280,"tennessee nonmetropolitan area",362
"524",32300,"virginia nonmetropolitan area",NA
"525",32340,"missouri nonmetropolitan area",NA
"526",32380,"iowa nonmetropolitan area",NA
"527",32460,"kentucky nonmetropolitan area",424
"528",32500,"cincinnati metropolitan area",178
"529",32540,"oklahoma nonmetropolitan area",NA
"530",32580,"texas nonmetropolitan area",365
"531",32620,"mississippi nonmetropolitan area",NA
"532",32660,"tennessee nonmetropolitan area",NA
"533",32700,"kansas nonmetropolitan area",NA
"534",32740,"pennsylvania nonmetropolitan area",240
"535",32780,"oregon nonmetropolitan area",366
"536",32820,"memphis metropolitan area",368
"537",32860,"wisconsin nonmetropolitan area",232
"538",32900,"california nonmetropolitan area",488
"539",32940,"mississippi nonmetropolitan area",NA
"540",33020,"missouri nonmetropolitan area",190
"541",33060,"oklahoma nonmetropolitan area",309
"542",33100,"miami metropolitan area",370
"543",33140,"chicago metropolitan area",176
"544",33180,"kentucky nonmetropolitan area",NA
"545",33220,"michigan nonmetropolitan area",474
"546",33260,"texas nonmetropolitan area",372
"547",33300,"georgia nonmetropolitan area (united states)",NA
"548",33340,"milwaukee metropolitan area",376
"549",33380,"louisiana nonmetropolitan area",508
"550",33420,"dallas metropolitan area",206
"551",33460,"minneapolis metropolitan area",378
"552",33500,"north dakota nonmetropolitan area",NA
"553",33540,"montana nonmetropolitan area",NA
"554",33580,"south dakota nonmetropolitan area",NA
"555",33620,"missouri nonmetropolitan area",190
"556",33660,"mobile metropolitan area",380
"557",33700,"stockton metropolitan area",488
"558",33740,"louisiana nonmetropolitan area",384
"559",33780,"detroit metropolitan area",220
"560",33860,"alabama nonmetropolitan area",388
"561",33940,"colorado nonmetropolitan area",NA
"562",33980,"north carolina nonmetropolitan area",404
"563",34020,"louisiana nonmetropolitan area",318
"564",34060,"west virginia nonmetropolitan area",390
"565",34100,"knoxville metropolitan area",315
"566",34140,"idaho nonmetropolitan area",446
"567",34180,"washington nonmetropolitan area",393
"568",34220,"georgia nonmetropolitan area (united states)",NA
"569",34260,"arkansas nonmetropolitan area",NA
"570",34300,"boise metropolitan area",147
"571",34340,"greensboro metropolitan area",268
"572",34350,"west virginia nonmetropolitan area",170
"573",34380,"michigan nonmetropolitan area",394
"574",34420,"texas nonmetropolitan area",NA
"575",34460,"lexington metropolitan area",336
"576",34500,"illinois nonmetropolitan area",NA
"577",34540,"columbus metropolitan area",198
"578",34580,"seattle metropolitan area",500
"579",34620,"indianapolis metropolitan area",294
"580",34660,"kentucky nonmetropolitan area",NA
"581",34700,"iowa nonmetropolitan area",209
"582",34740,"grand rapids metropolitan area",266
"583",34780,"tulsa metropolitan area",538
"584",34820,"south carolina nonmetropolitan area",396
"585",34860,"texas nonmetropolitan area",NA
"586",34900,"san francisco metropolitan area",488
"587",34940,"florida nonmetropolitan area",163
"588",34980,"nashville metropolitan area",400
"589",35020,"mississippi nonmetropolitan area",NA
"590",35060,"louisiana nonmetropolitan area",NA
"591",35100,"north carolina nonmetropolitan area",404
"592",35140,"columbia metropolitan area",192
"593",35220,"indianapolis metropolitan area",294
"594",35260,"pittsburgh metropolitan area",430
"595",35300,"new york city metropolitan area",408
"596",35380,"new orleans metropolitan area",406
"597",35420,"cleveland metropolitan area",184
"598",35440,"oregon nonmetropolitan area",NA
"599",35460,"knoxville metropolitan area",315
"600",35580,"minnesota nonmetropolitan area",359
"601",35620,"new york city metropolitan area",408
"602",35660,"michigan nonmetropolitan area",515
"603",35700,"tucson metropolitan area",536
"604",35740,"nebraska nonmetropolitan area",NA
"605",35820,"nebraska nonmetropolitan area",NA
"606",35840,"florida nonmetropolitan area",412
"607",35860,"indianapolis metropolitan area",294
"608",35900,"north carolina nonmetropolitan area",NA
"609",35940,"cleveland metropolitan area",184
"610",35980,"hartford metropolitan area",278
"611",36020,"seattle metropolitan area",500
"612",36100,"florida nonmetropolitan area",NA
"613",36140,"philadelphia metropolitan area",428
"614",36220,"texas nonmetropolitan area",372
"615",36260,"salt lake city metropolitan area",482
"616",36300,"new york nonmetropolitan area",NA
"617",36340,"pennsylvania nonmetropolitan area",NA
"618",36380,"florida nonmetropolitan area",NA
"619",36420,"oklahoma city metropolitan area",416
"620",36460,"buffalo metropolitan area",160
"621",36500,"seattle metropolitan area",500
"622",36540,"omaha metropolitan area",420
"623",36580,"new york nonmetropolitan area",NA
"624",36620,"boise metropolitan area",147
"625",36660,"louisiana nonmetropolitan area",318
"626",36700,"columbia metropolitan area",192
"627",36740,"orlando metropolitan area",422
"628",36780,"wisconsin nonmetropolitan area",118
"629",36820,"des moines metropolitan area",218
"630",36830,"washington nonmetropolitan area",393
"631",36837,"chicago metropolitan area",176
"632",36840,"kansas city metropolitan area",312
"633",36900,"iowa nonmetropolitan area",NA
"634",36940,"minneapolis metropolitan area",378
"635",36980,"kentucky nonmetropolitan area",NA
